iter	Logloss
0	0.5628972208
1	0.4554366591
2	0.3649869592
3	0.2925939152
4	0.2548828393
5	0.2086209235
6	0.1710392416
7	0.1506438676
8	0.1304552761
9	0.1122525315
10	0.1005958614
11	0.09045593187
12	0.08323024108
13	0.07618304443
14	0.07035820586
15	0.06446553352
16	0.0602719017
17	0.05746927225
18	0.05302121966
19	0.04954888171
20	0.04673678764
21	0.04417671347
22	0.04034715209
23	0.0383364871
24	0.037104598
25	0.03597900437
26	0.03371855685
27	0.03253365248
28	0.0314293994
29	0.0306395559
30	0.02943869415
31	0.02888756436
32	0.02752927475
33	0.02634495664
34	0.0251979297
35	0.02376883121
36	0.0224907318
37	0.02148865563
38	0.02092518173
39	0.02028026108
40	0.01985617685
41	0.01951369815
42	0.01905116171
43	0.01847825065
44	0.0179007352
45	0.01720795376
46	0.01640658765
47	0.01590584513
48	0.01569920481
49	0.01488122302
50	0.01436997952
51	0.0140103793
52	0.01361328425
53	0.01345952256
54	0.01320717868
55	0.01282829839
56	0.01241965754
57	0.01202744253
58	0.01158058679
59	0.01096125908
60	0.01061949963
61	0.01015446222
62	0.01011315626
63	0.009706381337
64	0.009398069512
65	0.00924869056
66	0.008959166907
67	0.008796505576
68	0.008574288625
69	0.008297108826
70	0.008082809612
71	0.007831734588
72	0.007774028989
73	0.007685042314
74	0.007514470518
75	0.007365770421
76	0.007124261501
77	0.006930763483
78	0.006840335201
79	0.006691683335
80	0.006484747386
81	0.006437696629
82	0.00634634319
83	0.006217206025
84	0.00610028265
85	0.005895635059
86	0.005826336217
87	0.005662958403
88	0.005555694872
89	0.005432374195
90	0.005303417323
91	0.005156141708
92	0.005030982138
93	0.00493295842
94	0.004786474576
95	0.004696170763
96	0.004615975397
97	0.004515127451
98	0.00445874004
99	0.004358774651
100	0.004335016291
101	0.004252366681
102	0.00419701892
103	0.004138769439
104	0.00410369184
105	0.00402982349
106	0.003973725078
107	0.003905771974
108	0.003829589683
109	0.003813572346
110	0.003761741286
111	0.003685777356
112	0.003633135723
113	0.003547699773
114	0.003542157699
115	0.003492697494
116	0.003476797727
117	0.003444280251
118	0.003409067537
119	0.003377007197
120	0.003376975627
121	0.003367790528
122	0.00336222971
123	0.003302271699
124	0.003271951154
125	0.003203761899
126	0.003181164331
127	0.00315244279
128	0.003125299638
129	0.003093402219
130	0.003073166307
131	0.003041245156
132	0.003035115649
133	0.003005262689
134	0.002962688143
135	0.002956272895
136	0.002928209052
137	0.002928142823
138	0.002897982726
139	0.002889561794
140	0.002866544716
141	0.002859672442
142	0.002819524212
143	0.002786227097
144	0.00276686597
145	0.002742935975
146	0.002727672138
147	0.00272432699
148	0.002718910054
149	0.002675979189
